flame,point,x_over_d,kind,r_over_d,F,F_rms,T,T_rms,Y_O2,Y_N2,Y_H2O,Y_CH4,Y_CO,Y_CO2,Y_OH,Y_H2,Y_NO,Y_CO_LIF
C,02,2.0,Yave,-0.6,0.7217,0.0817,1176.0,330.0,0.115,0.667,0.0535,0.0815,0.0242,0.0591,7.69e-05,0.00126,1.06e-05,0.0227
C,02,2.0,Yave,-0.53,0.8242,0.0736,701.0,248.0,0.167,0.66,0.0242,0.116,0.00852,0.024,1.86e-05,0.000578,3.54e-06,0.00836
C,02,2.0,Yave,-0.46,0.8926,0.0706,478.0,158.0,0.188,0.654,0.0111,0.134,0.00237,0.00955,2.36e-06,0.000242,1.39e-06,0.00316
C,02,2.0,Yave,-0.39,0.9482,0.0442,356.0,70.0,0.196,0.65,0.00414,0.147,0.000224,0.0024,0.0,7.37e-05,4.82e-07,0.000907
C,02,2.0,Yave,-0.32,0.9772,0.0279,305.0,20.0,0.198,0.648,0.00123,0.152,0.000212,0.000104,2.75e-07,1.66e-05,1.72e-07,0.000177
C,02,2.0,Yave,-0.25,0.9858,0.0221,292.0,5.0,0.198,0.648,0.000604,0.154,0.000355,0.0,3.94e-07,7.68e-06,1.2e-07,5.8e-05
C,02,2.0,Yave,-0.18,0.9854,0.0222,290.0,3.0,0.198,0.648,0.000509,0.154,0.000288,0.0,4.4e-07,2.75e-06,8.51e-08,5.04e-05
C,02,2.0,Yave,-0.04,0.9891,0.0236,290.0,3.0,0.198,0.647,0.000499,0.155,0.000365,0.0,4.35e-07,2.99e-06,1.39e-07,3.32e-05
C,02,2.0,Yave,0.03,0.9892,0.0237,289.0,3.0,0.197,0.648,0.000506,0.155,0.000395,0.0,4.3e-07,3.41e-06,1.5e-07,3.44e-05
C,02,2.0,Yave,0.17,0.9898,0.0219,289.0,3.0,0.198,0.647,0.000528,0.155,0.000446,0.0,4.72e-07,4.69e-06,8.71e-08,4.49e-05
C,02,2.0,Yave,0.24,0.9882,0.0251,292.0,4.0,0.198,0.647,0.000594,0.154,0.000287,0.0,3.84e-07,4.34e-06,8.62e-08,6.99e-05
C,02,2.0,Yave,0.31,0.9898,0.0234,303.0,18.0,0.196,0.648,0.00104,0.154,0.000581,0.000447,4.97e-07,2.08e-05,1.49e-07,0.000172
C,02,2.0,Yave,0.38,0.9747,0.0368,354.0,68.0,0.19,0.651,0.00408,0.15,0.00145,0.00389,6.75e-07,9.1e-05,5.18e-07,0.000888
C,02,2.0,Yave,0.44,0.9224,0.072,498.0,177.0,0.171,0.66,0.014,0.137,0.00506,0.0137,9.12e-06,0.000328,1.87e-06,0.00374
C,02,2.0,Yave,0.51,0.8276,0.0915,748.0,247.0,0.14,0.675,0.0314,0.113,0.0126,0.0305,2.58e-05,0.000706,4.9e-06,0.00972
C,02,2.0,Yave,0.58,0.6764,0.1206,1186.0,362.0,0.0832,0.699,0.0617,0.0727,0.0247,0.0597,0.000115,0.00119,1.32e-05,0.0227
C,02,2.0,Yave,0.65,0.4926,0.0943,1707.0,268.0,0.0339,0.709,0.0956,0.0256,0.0348,0.099,0.001,0.00132,2.68e-05,0.0349
C,02,2.0,Yave,0.72,0.3635,0.0287,1974.0,57.0,0.0213,0.721,0.108,0.00317,0.0214,0.118,0.00265,0.000705,3.19e-05,0.0254
C,02,2.0,Yave,0.79,0.3142,0.0183,1981.0,45.0,0.0324,0.729,0.104,0.00102,0.00894,0.119,0.0029,0.000269,2.64e-05,0.0119
C,02,2.0,Yave,0.93,0.2664,0.0149,1848.0,55.0,0.0552,0.734,0.0917,0.000389,0.00172,0.114,0.00168,5.53e-05,1.52e-05,0.00256
C,02,2.0,Yave,1.07,0.2233,0.0173,1625.0,82.0,0.0837,0.736,0.0779,1.19e-05,0.00019,0.101,0.00071,3.45e-06,9.84e-06,0.00066
C,02,2.0,Yave,1.21,0.1643,0.0296,1314.0,142.0,0.126,0.741,0.0593,0.000154,0.0,0.0734,0.000207,1.97e-05,6.35e-06,0.000148
C,02,2.0,Yave,1.35,0.094,0.0296,940.0,168.0,0.174,0.747,0.0375,4.69e-06,4.61e-05,0.0414,3.36e-05,6.66e-06,3.17e-06,0.000156
C,02,2.0,Yave,1.49,0.0364,0.0182,585.0,121.0,0.212,0.753,0.0201,0.0,0.0,0.014,3.91e-06,1.79e-05,1.2e-06,0.000107
C,02,2.0,Yave,1.62,0.0071,0.0044,371.0,39.0,0.232,0.757,0.01,0.0,0.0,0.00137,2.66e-08,1.09e-05,1.93e-07,1.9e-05
C,02,2.0,Yave,1.76,0.0011,0.0011,313.0,13.0,0.234,0.758,0.00733,0.0,0.0,0.0,1.12e-08,6.6e-06,1.02e-07,1.35e-05
C,02,2.0,Yfav,-0.6,0.7433,0.0812,1074.0,333.0,0.128,0.665,0.0467,0.089,0.0209,0.0513,6.94e-05,0.00113,8.97e-06,0.0194
C,02,2.0,Yfav,-0.53,0.8462,0.0721,624.0,221.0,0.175,0.658,0.0196,0.122,0.00615,0.0187,1.32e-05,0.000475,2.81e-06,0.00643
C,02,2.0,Yfav,-0.46,0.91,0.0654,436.0,135.0,0.191,0.652,0.00875,0.138,0.00154,0.00702,1.1e-06,0.000193,1.1e-06,0.00238
C,02,2.0,Yfav,-0.39,0.9532,0.0406,345.0,60.0,0.197,0.649,0.00355,0.148,0.000161,0.00183,0.0,6.38e-05,4.19e-07,0.000771
C,02,2.0,Yfav,-0.32,0.9778,0.0273,304.0,19.0,0.198,0.648,0.00117,0.153,0.000228,6.15e-05,2.96e-07,1.56e-05,1.67e-07,0.000167
C,02,2.0,Yfav,-0.25,0.9857,0.0221,292.0,5.0,0.198,0.648,0.000601,0.154,0.000357,0.0,3.97e-07,7.63e-06,1.2e-07,5.75e-05
C,02,2.0,Yfav,-0.18,0.9853,0.0221,290.0,3.0,0.198,0.648,0.000509,0.154,0.000292,0.0,4.43e-07,2.78e-06,8.52e-08,5.05e-05
