metric,fine,medium,coarse,eps21,eps32,r21,r32,p,phi_ext,gci_fine_pct,AR,AR_ideal,note
"CO2@x/d=45,r/d=3",0.08092296603992732,0.08028553048963004,0.07871128352505813,-0.0006374355502972856,-0.0015742469645719098,1.4142697521962047,1.4135737606545855,2.6145550790655676,0.08135512629725986,0.6675488407074979,2.4696566795462167,2.474998081109552,
intT@x/d=45,7173.953212168394,7146.253796314553,7038.729228205997,-27.699415853840947,-107.5245681085562,1.4142697521962047,1.4135737606545855,3.9205246506451004,7183.531377113636,0.16689133351532803,3.8818352226603463,3.891933477048582,
Tmax@x/d=45,1850.356689453125,1843.64697265625,1823.1727294921875,-6.709716796875,-20.4742431640625,1.4142697521962047,1.4135737606545855,3.22541193127355,1853.6159835027197,0.22018011906653276,3.051431794200051,3.058641133563648,
"T@x/d=60,r/d=0",1366.9014892578125,1365.158447265625,1356.8751220703125,-1.7430419921875,-8.2833251953125,1.4142697521962047,1.4135737606545855,4.504788680913532,1367.364377006922,0.04233002092208498,4.752223545066181,4.765582466893979,
"CO2@x/d=60,r/d=0",0.0702014490962028,0.0701309293508529,0.0691918432712555,-7.051974534989791e-05,-0.0009390860795974038,1.4142697521962047,1.4135737606545855,7.48094479436621,0.07020715007741944,0.010151110286956836,13.316640253562165,13.369755778898345,
"T@x/d=60,r/d=1",1346.9406110815974,1345.2708191729616,1344.71508202375,-1.669791908635716,-0.555737149211609,1.4142697521962047,1.4135737606545855,3.1807888828956914,1347.7706524228324,0.07703024676867574,0.3328182070696866,3.0116972802239093,
"CO2@x/d=60,r/d=1",0.06888235423153977,0.06881498321616594,0.06834493347567577,-6.737101537382384e-05,-0.00047004974049016934,1.4142697521962047,1.4135737606545855,5.613887996866053,0.06889358354348558,0.020377700630087245,6.977032153693816,6.999567533518994,
"T@x/d=60,r/d=1.5",1324.411390166281,1323.8284722079416,1329.0845402098748,-0.5829179583395216,5.256068001933272,1.4142697521962047,1.4135737606545855,,,,,,非单调/零差，不在渐近区
"CO2@x/d=60,r/d=1.5",0.06734755100108326,0.067329169882822,0.06726820336956299,-1.8381118261259766e-05,-6.0966513259014254e-05,1.4142697521962047,1.4135737606545855,3.4662308935097,0.06735545717351653,0.014674201800460819,3.3168010995015416,3.3249073323961165,
"T@x/d=60,r/d=2",1297.0052000188743,1297.0882303628705,1302.6308212730692,0.08303034399614262,5.542590910198669,1.4142697521962047,1.4135737606545855,12.137665223992363,1297.0039450240197,0.00012095121655223033,66.75379919486018,67.15990790409998,
"CO2@x/d=60,r/d=2",0.06539990027338492,0.06540770231874808,0.06545398654771215,7.802045363158872e-06,4.628422896406359e-05,1.4142697521962047,1.4135737606545855,5.145389471234456,0.06539832423392436,0.003012312430868509,5.932319899422394,5.9504124473786595,
"T@x/d=60,r/d=3",1219.9757459186937,1220.3262276134842,1218.0928984791894,0.3504816947904601,-2.233329134294763,1.4142697521962047,1.4135737606545855,,,,,,非单调/零差，不在渐近区
"CO2@x/d=60,r/d=3",0.05987373499251435,0.05985815310519195,0.05960660255044274,-1.5581887322403676e-05,-0.00025155055474920807,1.4142697521962047,1.4135737606545855,8.037058684847159,0.059874759308120806,0.0021384911234130313,16.14377960412588,16.21199835693779,
intT@x/d=60,5640.545944753554,5639.268945815177,5619.763857213029,-1.2769989383768916,-19.505088602148135,1.4142697521962047,1.4135737606545855,7.877109481283106,5640.635010832395,0.0019737911833424848,15.27416195579595,15.337657557281107,
Tmax@x/d=60,1366.9014892578125,1365.158447265625,1356.8751220703125,-1.7430419921875,-8.2833251953125,1.4142697521962047,1.4135737606545855,4.504788680913532,1367.364377006922,0.04233002092208498,4.752223545066181,4.765582466893979,
T_cl@x/d=30,1945.6184007218203,1952.373074219375,1927.3990626201326,6.754673497554677,-24.97401159924243,1.4142697521962047,1.4135737606545855,,,,,,非单调/零差，不在渐近区
T_cl@x/d=45,1850.3566598780264,1843.64707410446,1823.1727843843269,-6.7095857735664595,-20.47428972013313,1.4142697521962047,1.4135737606545855,3.225474890500829,1853.615784610501,0.22016868444494822,3.0514983206258477,3.058707881509186,
