profile,x_over_d,r_over_d,x_m,y_m,temperature,ch4,o2,co2,h2o,co,T_std
radial,0.75,2.329111254463593,0.005400000140070915,0.01676960103213787,305.64939880371094,7.926184701911865e-07,0.23024543561041355,0.0010295532447344158,0.006945817032828927,4.87876720001168e-06,27.462854863542095
radial,0.75,2.3484025667938924,0.005400000140070915,0.016908498480916023,304.9292221069336,7.81236954350284e-07,0.23033703304827213,0.0009639766976761166,0.006895319442264736,4.677418509402287e-06,27.589415056738005
radial,0.75,2.3678804023398294,0.005400000140070915,0.01704873889684677,304.2713966369629,7.704211409942374e-07,0.2304228786379099,0.000902174837392522,0.006847691256552935,4.489111063321616e-06,27.69500908130748
radial,0.75,2.387546313305696,0.005400000140070915,0.01719033345580101,303.67892837524414,7.602389135996646e-07,0.23050245270133018,0.00084452396913548,0.006803221011068672,4.314719227238584e-06,27.77746412939301
radial,0.75,2.407402369297213,0.005400000140070915,0.017333297058939934,303.15991592407227,7.50886574252263e-07,0.23057405091822147,0.0007921125525172101,0.006762745615560561,4.157103166591014e-06,27.832591113333923
radial,0.75,2.427450122518672,0.005400000140070915,0.017477640882134438,302.727840423584,7.427538660786936e-07,0.23063417337834835,0.0007471226090274286,0.006727936037350446,4.022116126378705e-06,27.85420025351822
radial,0.75,2.4476913838750787,0.005400000140070915,0.017623377963900566,302.3934516906738,7.362817824319023e-07,0.23067879304289818,0.0007120303839656117,0.006700687110424042,3.9163171408063135e-06,27.837475853740848
radial,0.75,2.4681282229721546,0.005400000140070915,0.017770523205399513,302.1508140563965,7.31533972064824e-07,0.2307070828974247,0.000687339794694708,0.006681385915726423,3.840559611223426e-06,27.78420709414016
radial,0.75,2.4887627094156213,0.005400000140070915,0.017919091507792473,301.9753723144531,7.280119561081655e-07,0.23072317242622375,0.0006706135237095623,0.0066681774915196,3.7874002698501386e-06,27.702857317772754
radial,0.75,2.5095963954097695,0.005400000140070915,0.01806909404695034,301.83877182006836,7.250010221060421e-07,0.23073316365480423,0.0006584046760877982,0.006658446392975748,3.7466509917871704e-06,27.60161749452769
radial,0.75,2.5306310918596058,0.005400000140070915,0.01822054386138916,301.7213592529297,7.219693036065317e-07,0.23074160516262054,0.0006483435596393861,0.006650391616858542,3.711229824787665e-06,27.484338842422943
radial,0.75,2.551869127071566,0.005400000140070915,0.018373457714915276,301.6135444641113,7.186776990468664e-07,0.23075068183243275,0.0006393545979834769,0.00664319220231846,3.6779001715246673e-06,27.353104668226127
radial,0.75,2.5733123119506573,0.005400000140070915,0.01852784864604473,301.51184463500977,7.151275612811816e-07,0.2307606264948845,0.0006310538992210513,0.006636570848058909,3.645783145344618e-06,27.211142120634662
radial,0.75,2.5949627161026,0.005400000140070915,0.01868373155593872,301.4142150878906,7.113472313074825e-07,0.23077142797410488,0.0006232933189499485,0.006630435469560325,3.6146107448061654e-06,27.058665149485446
radial,0.75,2.616822150432401,0.005400000140070915,0.01884111948311329,301.31636810302734,7.071308085049226e-07,0.23078467324376106,0.0006158790948714023,0.006624673726037145,3.583267936844948e-06,26.88717058684555
radial,0.75,2.638892684545782,0.005400000140070915,0.01900002732872963,301.21066665649414,7.019189608751572e-07,0.23080444894731045,0.0006083912100445437,0.006619050749577582,3.549141078296224e-06,26.6781887627801
radial,0.75,2.6611766467491784,0.005400000140070915,0.019160471856594086,301.09123611450195,6.952080411727172e-07,0.23083464242517948,0.0006003899095997842,0.006613307981751859,3.509781380231687e-06,26.41878072943778
radial,0.75,2.6836755892468824,0.005400000140070915,0.019322464242577553,300.9588508605957,6.870385353440077e-07,0.23087534122169018,0.0005917586646343697,0.006607342918869108,3.4650262139340672e-06,26.11451123060484
radial,0.75,2.706392099046045,0.005400000140070915,0.019486023113131523,300.819278717041,6.780006655745521e-07,0.23092241026461124,0.0005827725212984562,0.006601265515200794,3.4171100966833685e-06,25.78396852151953
radial,0.75,2.7293277283509574,0.005400000140070915,0.019651159644126892,300.6736183166504,6.684900797845517e-07,0.23097238689661026,0.0005736084786172639,0.006595134735107422,3.3673778961462026e-06,25.432225988098022
radial,0.75,2.7524850641687713,0.005400000140070915,0.019817892462015152,300.5105628967285,6.579878549157962e-07,0.23102853819727898,0.0005637810321699455,0.006588638003449887,3.312872716234455e-06,25.03056925900343
radial,0.75,2.775866176105208,0.005400000140070915,0.019986236467957497,300.30749130249023,6.448493108211477e-07,0.2311026081442833,0.0005519990294324523,0.0065810170490294695,3.245670501957884e-06,24.5200273414498
radial,0.75,2.799473133765989,0.005400000140070915,0.02015620656311512,300.0337142944336,6.263120219550465e-07,0.2312135174870491,0.0005362279722692898,0.006571097299456596,3.153485302625033e-06,23.820192215953124
radial,0.75,2.8233080067568355,0.005400000140070915,0.020327817648649216,299.6813621520996,6.011901622157589e-07,0.23137016594409943,0.0005155211942305392,0.006558345863595605,3.031117188148066e-06,22.910997692827724
radial,0.75,2.8473731233841844,0.005400000140070915,0.020501086488366127,299.2761993408203,5.713952737514481e-07,0.23156091012060642,0.0004911700980043389,0.0065435360302217305,2.8869125179211287e-06,21.860791956081684
radial,0.75,2.871670811954472,0.005400000140070915,0.020676029846072197,298.8313102722168,5.389236042485859e-07,0.23177246376872063,0.00046459285386595824,0.006527498364448547,2.7290754084807907e-06,20.702162929523684
radial,0.75,2.8962031420734196,0.005400000140070915,0.02085266262292862,298.33250427246094,5.041877650450905e-07,0.23200206272304058,0.0004360410526769918,0.006510373670607805,2.558328304741057e-06,19.394816569789526
radial,0.75,2.9209724420474634,0.005400000140070915,0.021031001582741737,297.6926956176758,4.6196611456903873e-07,0.23228717222809792,0.0004011691924612808,0.00648963259300217,2.3480739934400357e-06,17.708154156558482
radial,0.75,2.9459807814823256,0.005400000140070915,0.021211061626672745,296.8275451660156,4.0574353028599657e-07,0.23267793469130993,0.00035423225806703536,0.00646194297587499,2.065543028821211e-06,15.421384270669677
radial,0.75,2.9712310060858727,0.005400000140070915,0.021392863243818283,295.7117385864258,3.315128018510111e-07,0.23321051709353924,0.00029131980035137774,0.006425079423934221,1.690407121198779e-06,12.469802793837246
radial,0.75,2.9967246680623956,0.005400000140070915,0.021576417610049248,294.39929580688477,2.4096989586782153e-07,0.23387813195586205,0.00021351000094578922,0.0063797226757742465,1.2311476276055092e-06,8.997405641108305
radial,0.75,3.0224651305211916,0.005400000140070915,0.02176174893975258,293.13305282592773,1.5089881272429707e-07,0.23455778323113918,0.00013499677913963347,0.0063341084169223905,7.727485894189808e-07,5.647091748495348
radial,0.75,3.0484542043672667,0.005400000140070915,0.02194887027144432,292.17053985595703,8.120400665775675e-08,0.2350948601961136,7.335230591954329e-05,0.006298378109931946,4.1683857719767594e-07,3.100360486054754
radial,0.75,3.0746942179070578,0.005400000140070915,0.022137798368930817,291.5769920349121,3.849083695209948e-08,0.2354307435452938,3.5009633441333264e-05,0.006276196683757007,1.97947725675422e-07,1.5297963590237247
radial,0.75,3.1011874994470014,0.005400000140070915,0.02232854999601841,291.2651252746582,1.6839992658443822e-08,0.23560438118875027,1.5283277263949646e-05,0.006264803349040449,8.659624788355763e-08,0.704490633146883
radial,0.75,3.1279368946949644,0.005400000140070915,0.02252114564180374,291.1169776916504,7.081207091027579e-09,0.23568344675004482,6.33982798825707e-06,0.006259645102545619,3.6335302484183856e-08,0.31235746934462044
radial,0.75,3.1549442145559525,0.005400000140070915,0.022715598344802856,291.0503120422363,2.9345298693754578e-09,0.23571700789034367,2.560245514465391e-06,0.006257467670366168,1.5004533703428776e-08,0.13584156304174
radial,0.75,3.1822130808399782,0.005400000140070915,0.022911934182047844,291.0211753845215,1.2339785487569612e-09,0.23573074117302895,1.0206729569857185e-06,0.006256581225898117,6.266763671044991e-09,0.058609853831274525
radial,0.75,3.2097450457513332,0.005400000140070915,0.0231101643294096,291.00868225097656,5.441101063984126e-10,0.23573624156415462,4.0689994228147696e-07,0.006256227963604033,2.733123068723143e-09,0.02541938400139147
radial,0.75,3.237542954997884,0.005400000140070915,0.023310309275984764,291.0033836364746,2.629538425357271e-10,0.23573842458426952,1.6553264680169801e-07,0.0062560890801250935,1.3016304172260647e-09,0.011312171347687201
