profile,x_over_d,r_over_d,x_m,y_m,temperature,ch4,o2,co2,h2o,co,n2
radial,0.75,0.0,0.005400000140070915,0.0,291.0,0.15627428889274597,0.1964128017425537,6.720880628563464e-05,5.7660043239593506e-05,2.491255600034492e-06,0.6471855640411377
radial,0.75,-0.06944444774287857,0.005400000140070915,-0.0005000000237487257,291.0,0.15623940527439117,0.19638101756572723,9.169682743959129e-05,7.866884698159993e-05,3.3989626899710856e-06,0.6472058296203613
radial,0.75,-0.13888889548575714,0.005400000140070915,-0.0010000000474974513,291.0,0.1561037003993988,0.1962573230266571,0.00018699471547733992,0.0001604270946700126,6.931407369847875e-06,0.6472846269607544
radial,0.75,-0.20833333514423835,0.005400000140070915,-0.001500000013038516,291.0,0.15574270486831665,0.19592836499214172,0.0004404830979183316,0.0003779006365220994,1.6327559933415614e-05,0.6474942564964294
radial,0.75,-0.2777777909715143,0.005400000140070915,-0.0020000000949949026,291.0,0.1548232138156891,0.19509044289588928,0.0010861282935366035,0.0009318147785961628,4.025994712719694e-05,0.6480281352996826
radial,0.75,-0.3472222144612008,0.005400000140070915,-0.0024999999441206455,291.0,0.15225335955619812,0.1927485167980194,0.002890633884817362,0.0024799425154924393,0.00010714826203184202,0.6495203971862793
radial,0.75,-0.4166666702884767,0.005400000140070915,-0.003000000026077032,291.0,0.14166171848773956,0.18309634923934937,0.010327883064746857,0.008860534057021141,0.00038282774039544165,0.6556707620620728
radial,0.75,-0.4861111261157526,0.005400000140070915,-0.0035000001080334187,291.0,0.10326889157295227,0.14810891449451447,0.037286605685949326,0.03198905289173126,0.0013821173924952745,0.6779643893241882
radial,0.75,-0.5555555819430286,0.005400000140070915,-0.004000000189989805,291.0,0.04825441539287567,0.09797503054141998,0.07591620087623596,0.0651303231716156,0.0028140158392488956,0.7099100351333618
radial,0.75,-0.6249999730951257,0.005400000140070915,-0.0044999998062849045,291.0,0.013770174235105515,0.06656306236982346,0.10012215375900269,0.08589764684438705,0.003711267374455929,0.7299356460571289
radial,0.75,-0.6944444289224015,0.005400000140070915,-0.004999999888241291,290.9999694824219,0.0028056898154318333,0.056619320064783096,0.10779204964637756,0.09247943758964539,0.003995570354163647,0.7363079190254211
radial,0.75,-0.7638888847496774,0.005400000140070915,-0.005499999970197678,291.0,0.000677104399073869,0.054775141179561615,0.10922883450984955,0.093715138733387,0.00404882850125432,0.7375549674034119
radial,0.75,-0.8333333405769534,0.005400000140070915,-0.006000000052154064,291.0,0.00022346898913383484,0.054584745317697525,0.10941296070814133,0.09388081729412079,0.00405565369874239,0.737842321395874
radial,0.75,-0.9027777964042293,0.005400000140070915,-0.006500000134110451,290.9999694824219,7.884600927354768e-05,0.05495178699493408,0.10921328514814377,0.09372691810131073,0.004048252012580633,0.7379809617996216
