flame,kind,point,x_over_d,r_over_d,F,T_K,Y_O2,Y_N2,Y_H2O,Y_CH4,Y_CO,Y_CO2,Y_OH,Y_H2,Y_NO,Y_CO_LIF
D,Yave,75,75.0,4.17,0.0947,927.0,0.166,0.754,0.0377,0.0,0.000114,0.0423,1.99e-05,1.69e-05,1.92e-05,5.22e-05
D,Yave,75,75.0,5.56,0.0683,759.0,0.183,0.758,0.0284,2.75e-05,0.000106,0.0307,6.63e-06,1.37e-05,1.3e-05,3.86e-05
D,Yave,75,75.0,6.94,0.0493,634.0,0.196,0.76,0.022,1.6e-06,6.66e-05,0.0225,3.55e-06,1.86e-05,8.99e-06,2.11e-05
D,Yave,75,75.0,8.33,0.0309,513.0,0.207,0.762,0.0161,0.0,0.0,0.0142,1.63e-06,1.47e-05,5.47e-06,3.45e-05
D,Yave,75,75.0,9.72,0.0188,428.0,0.215,0.764,0.0121,1.34e-05,0.0,0.00868,4.71e-07,1.14e-05,3.33e-06,1.31e-05
D,Yave,75,75.0,11.11,0.0098,367.0,0.221,0.765,0.00908,0.0,0.0,0.00476,2.92e-07,9.02e-06,1.76e-06,2.21e-05
D,Yave,CL,5.0,0.0,0.9855,298.0,0.194,0.652,0.000517,0.154,0.0,0.0,5.25e-08,2.58e-06,1.4e-07,5.85e-05
D,Yave,CL,10.0,0.0,0.9626,352.0,0.188,0.655,0.00365,0.149,0.000678,0.00296,0.0,8.68e-05,4.72e-07,0.00113
D,Yave,CL,15.0,0.0,0.9117,504.0,0.172,0.662,0.0139,0.135,0.00547,0.0121,3.92e-06,0.000394,2.25e-06,0.00484
D,Yave,CL,20.0,0.0,0.8297,749.0,0.146,0.67,0.0316,0.113,0.0144,0.0265,9.31e-06,0.000927,6.21e-06,0.0125
D,Yave,CL,25.0,0.0,0.7606,1009.0,0.115,0.678,0.0517,0.0908,0.0246,0.0411,3.32e-05,0.0016,1.2e-05,0.0217
D,Yave,CL,30.0,0.0,0.6549,1357.0,0.0718,0.69,0.0803,0.0592,0.0364,0.0623,0.000173,0.0024,2.2e-05,0.0336
D,Yave,CL,35.0,0.0,0.5677,1630.0,0.0399,0.699,0.102,0.0342,0.0462,0.0792,0.000411,0.00293,3.35e-05,0.0424
D,Yave,CL,40.0,0.0,0.4762,1848.0,0.0181,0.708,0.116,0.0131,0.048,0.0945,0.0008,0.00287,4.54e-05,0.0459
D,Yave,CL,45.0,0.0,0.395,1957.0,0.0168,0.718,0.117,0.00312,0.0388,0.105,0.00135,0.00189,5.63e-05,0.0356
D,Yave,CL,50.0,0.0,0.3237,1922.0,0.0337,0.728,0.107,0.000674,0.0185,0.11,0.00154,0.000752,6.18e-05,0.0185
D,Yave,CL,55.0,0.0,0.2727,1813.0,0.0545,0.735,0.095,0.000537,0.00608,0.108,0.00132,0.0002,6.04e-05,0.00633
D,Yave,CL,60.0,0.0,0.2241,1629.0,0.0813,0.74,0.0815,9.59e-05,0.000977,0.0948,0.00074,4.04e-05,4.97e-05,0.00153
D,Yave,CL,65.0,0.0,0.191,1471.0,0.103,0.743,0.0707,9.48e-06,0.0,0.0827,0.00033,7.5e-06,3.93e-05,0.000372
D,Yave,CL,70.0,0.0,0.1637,1326.0,0.121,0.746,0.0612,0.000156,0.0,0.0708,0.000135,1.1e-05,3.43e-05,0.00012
D,Yave,CL,75.0,0.0,0.1416,1212.0,0.135,0.749,0.0538,6.33e-05,0.000164,0.0618,5.9e-05,7.34e-06,3.06e-05,4.13e-05
D,Yave,CL,80.0,0.0,0.124,1113.0,0.148,0.75,0.0475,4.92e-05,0.000302,0.0546,2.41e-05,1.58e-05,2.69e-05,1.8e-05
